,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,3,2,0,19,1,9,0
1,2002,2,1,0,17,3,4,0
2,2003,2,2,0,9,2,7,0
3,2004,10,3,0,6,3,5,0
4,2005,4,1,0,11,1,5,0
5,2006,6,5,0,14,4,7,0
6,2007,3,9,1,21,2,18,0
7,2008,12,13,2,24,3,26,0
8,2009,18,14,1,30,7,21,0
9,2010,24,8,0,31,10,9,0
10,2011,13,12,0,15,3,5,0
11,2012,12,7,2,17,4,5,0
12,2013,27,12,1,45,8,9,0
13,2014,32,17,3,41,5,14,0
14,2015,36,21,0,57,5,14,0
