,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,52,1,0,52,0,16,3
1,2002,76,2,0,73,0,3,0
2,2003,54,2,0,88,0,3,0
3,2004,20,0,0,66,0,0,0
4,2005,37,0,4,49,4,0,0
5,2006,72,1,0,51,0,1,0
6,2007,83,0,0,66,0,2,0
7,2008,77,1,0,78,0,5,0
8,2009,83,0,0,61,1,4,0
9,2010,92,0,0,75,0,3,0
10,2011,77,0,0,72,1,9,0
11,2012,103,3,0,85,0,8,0
12,2013,89,2,0,81,0,5,0
13,2014,120,3,0,97,29,8,0
14,2015,58,8,0,75,2,9,0
