,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,0,3,0,0,0,4,0
1,2002,0,2,0,0,0,3,0
2,2003,5,1,1,3,0,0,0
3,2004,1,0,0,1,0,4,0
4,2005,2,2,1,1,0,3,0
5,2006,3,1,0,2,0,2,0
6,2007,1,1,1,0,0,3,0
7,2008,0,1,0,2,1,5,0
8,2009,1,0,0,4,1,3,0
9,2010,1,2,0,2,0,3,0
10,2011,1,2,0,0,0,2,0
11,2012,5,0,0,0,0,3,0
12,2013,8,6,0,2,0,2,0
13,2014,2,1,0,3,0,1,0
14,2015,5,13,0,7,0,3,0
