,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,8,2,0,0,14,0,0
1,2002,6,2,0,17,0,3,0
2,2003,10,0,0,25,0,1,0
3,2004,3,4,0,40,0,1,0
4,2005,18,2,0,38,0,4,0
5,2006,20,7,0,14,0,6,0
6,2007,24,9,0,13,0,7,0
7,2008,20,4,0,19,0,5,0
8,2009,18,6,0,10,0,6,0
9,2010,18,6,1,11,0,3,0
10,2011,16,10,0,24,0,4,0
11,2012,34,10,1,19,0,4,0
12,2013,43,16,0,29,0,5,0
13,2014,47,12,0,34,3,5,0
14,2015,5,21,1,21,2,2,0
