,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,17,6,0,6,0,0,0
1,2002,17,4,0,1,0,0,0
2,2003,14,3,0,4,2,0,1
3,2004,18,4,0,3,1,0,0
4,2005,17,9,0,7,0,0,0
5,2006,23,3,0,3,2,3,0
6,2007,13,6,0,8,1,0,0
7,2008,19,7,0,15,1,4,0
8,2009,22,10,0,11,0,0,0
9,2010,16,6,0,13,3,1,0
10,2011,23,3,0,9,0,1,0
11,2012,21,10,0,16,0,0,0
12,2013,31,11,1,18,1,4,0
13,2014,30,13,0,16,1,3,0
14,2015,35,30,0,8,9,4,0
