,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,6,2,0,7,0,4,0
1,2002,4,5,0,3,0,3,0
2,2003,1,4,0,4,0,2,0
3,2004,7,7,0,5,0,3,0
4,2005,5,9,0,5,0,5,0
5,2006,6,14,1,5,1,5,0
6,2007,7,6,0,0,0,3,0
7,2008,6,11,0,4,0,4,0
8,2009,4,9,0,2,1,3,0
9,2010,3,10,0,11,2,3,0
10,2011,4,8,0,2,0,3,0
11,2012,3,9,0,2,0,0,0
12,2013,5,11,0,1,1,1,0
13,2014,5,7,0,2,1,6,0
14,2015,8,9,1,5,0,2,0
